nombre_cancion,nombre_artista,duracion,oyentes,reproducciones,url
I Thought I Saw Your Face Today,She & Him,185,874419,7377385,https://www.last.fm/music/She+&+Him/_/I+Thought+I+Saw+Your+Face+Today
Are You Listening Yet?,Harry Styles,192,281749,1566092,https://www.last.fm/music/Harry+Styles/_/Are+You+Listening+Yet%3F
Juno,Sabrina Carpenter,223,1124208,25139812,https://www.last.fm/music/Sabrina+Carpenter/_/Juno
Flashing Lights,Kanye West,237,2165556,36121341,https://www.last.fm/music/Kanye+West/_/Flashing+Lights
E85,Don Toliver,0,345416,2682339,https://www.last.fm/music/Don+Toliver/_/E85
"Lover, You Should've Come Over",Jeff Buckley,403,1580235,30271752,"https://www.last.fm/music/Jeff+Buckley/_/Lover,+You+Should%27ve+Come+Over"
Pink + White,Frank Ocean,290,2399502,58263619,https://www.last.fm/music/Frank+Ocean/_/Pink+%252B+White
In My Room,Julia Wolf,163,511637,8180204,https://www.last.fm/music/Julia+Wolf/_/In+My+Room
LES,Childish Gambino,0,1422807,25995816,https://www.last.fm/music/Childish+Gambino/_/LES
Sweet Boy,Malcolm Todd,180,622848,8379897,https://www.last.fm/music/Malcolm+Todd/_/Sweet+Boy
Illegal,PinkPantheress,336,1052244,11705971,https://www.last.fm/music/PinkPantheress/_/Illegal
Pain,PinkPantheress,98,1875047,35322560,https://www.last.fm/music/PinkPantheress/_/Pain
Taste,Sabrina Carpenter,156,1517048,30817984,https://www.last.fm/music/Sabrina+Carpenter/_/Taste
The Waiting Game,Harry Styles,169,272868,1467430,https://www.last.fm/music/Harry+Styles/_/The+Waiting+Game
Linger,The Cranberries,275,2405380,32131032,https://www.last.fm/music/The+Cranberries/_/Linger
BIRDS OF A FEATHER,Billie Eilish,183,2179790,54314433,https://www.last.fm/music/Billie+Eilish/_/BIRDS+OF+A+FEATHER
Dance No More,Harry Styles,194,246059,1449325,https://www.last.fm/music/Harry+Styles/_/Dance+No+More
12 to 12,sombr,242,757078,8612071,https://www.last.fm/music/sombr/_/12+to+12
No Pole,Don Toliver,187,1008013,17011125,https://www.last.fm/music/Don+Toliver/_/No+Pole
Carla's Song,Harry Styles,253,238639,1365229,https://www.last.fm/music/Harry+Styles/_/Carla%27s+Song
RUDE!,Hearts2Hearts,200,184228,2634884,https://www.last.fm/music/Hearts2Hearts/_/RUDE%21
The Subway,Chappell Roan,251,922426,16492526,https://www.last.fm/music/Chappell+Roan/_/The+Subway
Casual,Chappell Roan,232,1281340,29548702,https://www.last.fm/music/Chappell+Roan/_/Casual
EoO,Bad Bunny,205,762235,9390055,https://www.last.fm/music/Bad+Bunny/_/EoO
Nobody’s Son,Sabrina Carpenter,0,675729,10825926,https://www.last.fm/music/Sabrina+Carpenter/_/Nobody%E2%80%99s+Son
Nights,Frank Ocean,307,1637656,41452144,https://www.last.fm/music/Frank+Ocean/_/Nights
