nombre_cancion,nombre_artista,duracion,oyentes,reproducciones,url
Nothin' on You (feat. Bruno Mars),B.o.B,268,1051661,7767688,https://www.last.fm/music/B.o.B/_/Nothin%27+on+You+(feat.+Bruno+Mars)
Without Me,Eminem,290,2303255,20912823,https://www.last.fm/music/Eminem/_/Without+Me
Lua Cheia,Marina Sena,197,240618,5492918,https://www.last.fm/music/Marina+Sena/_/Lua+Cheia
Say It Ain't So - Original Mix,Weezer,0,664491,4268261,https://www.last.fm/music/Weezer/_/Say+It+Ain%27t+So+-+Original+Mix
Have You Ever Seen the Rain,Creedence Clearwater Revival,158,1606771,12833009,https://www.last.fm/music/Creedence+Clearwater+Revival/_/Have+You+Ever+Seen+the+Rain
mangetout,Wet Leg,204,321001,2240968,https://www.last.fm/music/Wet+Leg/_/mangetout
Father Figure,Taylor Swift,212,510246,10132286,https://www.last.fm/music/Taylor+Swift/_/Father+Figure
You Right,Doja Cat,181,1280598,17274326,https://www.last.fm/music/Doja+Cat/_/You+Right
Chanel,Frank Ocean,209,1436136,24088951,https://www.last.fm/music/Frank+Ocean/_/Chanel
Hold Me Tight,BTS,274,404018,9509484,https://www.last.fm/music/BTS/_/Hold+Me+Tight
Evergreen (You Didn’t Deserve Me At All),Omar Apollo,216,762442,9064389,https://www.last.fm/music/Omar+Apollo/_/Evergreen+(You+Didn%E2%80%99t+Deserve+Me+At+All)
Ni**as In Paris,JAŸ-Z,0,120870,244285,https://www.last.fm/music/JA%C5%B8-Z/_/Ni%2A%2Aas+In+Paris
greedy,Tate McRae,131,1270289,23807260,https://www.last.fm/music/Tate+McRae/_/greedy
Dangerous Woman,Ariana Grande,236,1387560,17093303,https://www.last.fm/music/Ariana+Grande/_/Dangerous+Woman
Dog Days Are Over,Florence + the Machine,252,2041006,22550784,https://www.last.fm/music/Florence+%252B+the+Machine/_/Dog+Days+Are+Over
Papercut,Linkin Park,126,1738512,19210539,https://www.last.fm/music/Linkin+Park/_/Papercut
Outro : Ego,BTS,196,378440,17149760,https://www.last.fm/music/BTS/_/Outro+:+Ego
Don't,Bryson Tiller,196,1144420,17236464,https://www.last.fm/music/Bryson+Tiller/_/Don%27t
APT.,Rosé,169,1345796,27178103,https://www.last.fm/music/Ros%C3%A9/_/APT.
Crawling,Linkin Park,209,1939120,19324451,https://www.last.fm/music/Linkin+Park/_/Crawling
No Idea,Don Toliver,154,1192896,15726860,https://www.last.fm/music/Don+Toliver/_/No+Idea
Blue & Grey,BTS,255,346049,20142434,https://www.last.fm/music/BTS/_/Blue+&+Grey
Can't Get You Out of My Head,Kylie Minogue,229,1622683,13902231,https://www.last.fm/music/Kylie+Minogue/_/Can%27t+Get+You+Out+of+My+Head
Love Me Again,V,182,428173,140847718,https://www.last.fm/music/V/_/Love+Me+Again
Pump It,Black Eyed Peas,215,1664252,11304923,https://www.last.fm/music/Black+Eyed+Peas/_/Pump+It
It Ain't Over 'til It's Over,Lenny Kravitz,242,856104,5856775,https://www.last.fm/music/Lenny+Kravitz/_/It+Ain%27t+Over+%27til+It%27s+Over
All of the Lights,Kanye West,299,1833753,21424252,https://www.last.fm/music/Kanye+West/_/All+of+the+Lights
Yes I'm Changing,Tame Impala,270,1208248,11680365,https://www.last.fm/music/Tame+Impala/_/Yes+I%27m+Changing
we never dated,sombr,196,519097,5017028,https://www.last.fm/music/sombr/_/we+never+dated
Everybody Talks,Neon Trees,177,1476312,14238281,https://www.last.fm/music/Neon+Trees/_/Everybody+Talks
Fly to My Room,BTS,222,313932,12838670,https://www.last.fm/music/BTS/_/Fly+to+My+Room
NOKIA,Drake,242,730899,10559889,https://www.last.fm/music/Drake/_/NOKIA
Mascara,Deftones,225,1222285,15565903,https://www.last.fm/music/Deftones/_/Mascara
러시안 룰렛 Russian Roulette,Red Velvet,211,709792,10936598,https://www.last.fm/music/Red+Velvet/_/%EB%9F%AC%EC%8B%9C%EC%95%88+%EB%A3%B0%EB%A0%9B+Russian+Roulette
Long Way 2 Go,Cassie,220,815274,7104597,https://www.last.fm/music/Cassie/_/Long+Way+2+Go
Rather Be (feat. Jess Glynne),Clean Bandit,227,1400097,11467843,https://www.last.fm/music/Clean+Bandit/_/Rather+Be+(feat.+Jess+Glynne)
Rottweiler,EsDeeKid,0,355619,4373107,https://www.last.fm/music/EsDeeKid/_/Rottweiler
Always Forever,Cults,223,1545779,18530985,https://www.last.fm/music/Cults/_/Always+Forever
Paradise,BTS,211,433498,13101051,https://www.last.fm/music/BTS/_/Paradise
CRANK,Slayyyter,175,165306,2465334,https://www.last.fm/music/Slayyyter/_/CRANK
Paradise,Sade,244,820111,5148008,https://www.last.fm/music/Sade/_/Paradise
Nobody Gets Me,SZA,180,1114316,18953638,https://www.last.fm/music/SZA/_/Nobody+Gets+Me
Staying,Lizzy McAlpine,152,345198,5200734,https://www.last.fm/music/Lizzy+McAlpine/_/Staying
Rosemary,Deftones,413,966782,13472807,https://www.last.fm/music/Deftones/_/Rosemary
I Gotta Feeling,Black Eyed Peas,246,2193355,16009838,https://www.last.fm/music/Black+Eyed+Peas/_/I+Gotta+Feeling
Disillusioned (with serpentwithfeet),Daniel Caesar,241,394135,4852970,https://www.last.fm/music/Daniel+Caesar/_/Disillusioned+(with+serpentwithfeet)
Starman - 2012 Remaster,David Bowie,254,1215985,12982492,https://www.last.fm/music/David+Bowie/_/Starman+-+2012+Remaster
Bleed (feat. Omar Apollo),Malcolm Todd,0,373226,4415011,https://www.last.fm/music/Malcolm+Todd/_/Bleed+(feat.+Omar+Apollo)
supernatural,Ariana Grande,163,791319,17565278,https://www.last.fm/music/Ariana+Grande/_/supernatural
Francis Forever,Mitski,150,1265907,24879338,https://www.last.fm/music/Mitski/_/Francis+Forever
C U Girl,Steve Lacy,129,1466501,22737120,https://www.last.fm/music/Steve+Lacy/_/C+U+Girl
One More Time,Daft Punk,235,2319326,18699083,https://www.last.fm/music/Daft+Punk/_/One+More+Time
Swimming Pools (Drank),Kendrick Lamar,224,1449137,14314487,https://www.last.fm/music/Kendrick+Lamar/_/Swimming+Pools+(Drank)
One Last Breath,Creed,239,1139194,10773684,https://www.last.fm/music/Creed/_/One+Last+Breath
Berghain,ROSALÍA,178,503713,5986949,https://www.last.fm/music/ROSAL%C3%8DA/_/Berghain
"Moves Like Jagger - Studio Recording From ""The Voice"" Performance",Maroon 5,0,1155052,7000007,https://www.last.fm/music/Maroon+5/_/Moves+Like+Jagger+-+Studio+Recording+From+%22The+Voice%22+Performance
15 Minutes,Sabrina Carpenter,191,570655,8843330,https://www.last.fm/music/Sabrina+Carpenter/_/15+Minutes
poster boy,2hollis,121,439999,8174416,https://www.last.fm/music/2hollis/_/poster+boy
GO!,CORTIS,170,335690,5409265,https://www.last.fm/music/CORTIS/_/GO%21
all-american bitch,Olivia Rodrigo,165,965951,21076772,https://www.last.fm/music/Olivia+Rodrigo/_/all-american+bitch
bless the telephone,Labi Siffre,0,501015,4186315,https://www.last.fm/music/Labi+Siffre/_/bless+the+telephone
ANTIFRAGILE,LE SSERAFIM,184,880336,24506793,https://www.last.fm/music/LE+SSERAFIM/_/ANTIFRAGILE
Just One Day,BTS,240,553384,13407366,https://www.last.fm/music/BTS/_/Just+One+Day
Hung Up,Madonna,336,1598347,15835175,https://www.last.fm/music/Madonna/_/Hung+Up
We Almost Broke Up Again Last Night,Sabrina Carpenter,203,499187,6353347,https://www.last.fm/music/Sabrina+Carpenter/_/We+Almost+Broke+Up+Again+Last+Night
House of Balloons / Glass Table Girls,The Weeknd,405,959534,12361863,https://www.last.fm/music/The+Weeknd/_/House+of+Balloons+%2F+Glass+Table+Girls
Doin' Time,Lana Del Rey,202,1516988,25314313,https://www.last.fm/music/Lana+Del+Rey/_/Doin%27+Time
TBH,PARTYNEXTDOOR,123,367305,7277959,https://www.last.fm/music/PARTYNEXTDOOR/_/TBH
It Will Rain,Bruno Mars,257,1196826,10830413,https://www.last.fm/music/Bruno+Mars/_/It+Will+Rain
Counting Stars,OneRepublic,257,1980509,19832381,https://www.last.fm/music/OneRepublic/_/Counting+Stars
Song 2 - 2012 Remaster,Blur,121,1282501,11691553,https://www.last.fm/music/Blur/_/Song+2+-+2012+Remaster
Blank Space,Taylor Swift,231,1801603,27804961,https://www.last.fm/music/Taylor+Swift/_/Blank+Space
No Other Heart,Mac DeMarco,173,941127,11533761,https://www.last.fm/music/Mac+DeMarco/_/No+Other+Heart
"Dear Maria, Count Me In",All Time Low,187,1326880,14649463,"https://www.last.fm/music/All+Time+Low/_/Dear+Maria,+Count+Me+In"
Rendezvous (feat. Yeat),Don Toliver,146,201574,1264905,https://www.last.fm/music/Don+Toliver/_/Rendezvous+(feat.+Yeat)
Such A Funny Way,Sabrina Carpenter,232,232540,2181368,https://www.last.fm/music/Sabrina+Carpenter/_/Such+A+Funny+Way
Daechwita,Agust D,225,548187,41282818,https://www.last.fm/music/Agust+D/_/Daechwita
Man in the Box,Alice in Chains,285,1366695,14735024,https://www.last.fm/music/Alice+in+Chains/_/Man+in+the+Box
Crush,Ethel Cain,204,592561,11996384,https://www.last.fm/music/Ethel+Cain/_/Crush
Africa,Toto,260,2213290,18750516,https://www.last.fm/music/Toto/_/Africa
Ode to the Mets,The Strokes,351,662786,9120647,https://www.last.fm/music/The+Strokes/_/Ode+to+the+Mets
Around Me (feat. Don Toliver),Metro Boomin,191,694092,11109775,https://www.last.fm/music/Metro+Boomin/_/Around+Me+(feat.+Don+Toliver)
Ordinary,Alex Warren,186,683025,7055114,https://www.last.fm/music/Alex+Warren/_/Ordinary
Party in the U.S.A.,Miley Cyrus,202,2122014,15876025,https://www.last.fm/music/Miley+Cyrus/_/Party+in+the+U.S.A.
Moonwalkin',LNGSHOT,208,148005,1902273,https://www.last.fm/music/LNGSHOT/_/Moonwalkin%27
Obsessed,Mariah Carey,242,1173110,11584686,https://www.last.fm/music/Mariah+Carey/_/Obsessed
Baby Steps,Olivia Dean,0,358885,2703524,https://www.last.fm/music/Olivia+Dean/_/Baby+Steps
Reptilia,The Strokes,219,2457692,27218500,https://www.last.fm/music/The+Strokes/_/Reptilia
Rhinestone Eyes,Gorillaz,200,1810760,18729364,https://www.last.fm/music/Gorillaz/_/Rhinestone+Eyes
Debut,KATSEYE,123,618948,9441215,https://www.last.fm/music/KATSEYE/_/Debut
Alejandro,Lady Gaga,239,1959617,25030318,https://www.last.fm/music/Lady+Gaga/_/Alejandro
Twilight,bôa,227,954598,13216334,https://www.last.fm/music/b%C3%B4a/_/Twilight
"Hold On, We're Going Home",Drake,229,1237894,14788074,"https://www.last.fm/music/Drake/_/Hold+On,+We%27re+Going+Home"
Ma City,BTS,257,371032,6838333,https://www.last.fm/music/BTS/_/Ma+City
Gold Digger,Kanye West,207,1874448,16901623,https://www.last.fm/music/Kanye+West/_/Gold+Digger
Laputa,Panchiko,163,644832,9117300,https://www.last.fm/music/Panchiko/_/Laputa
Just the Way You Are,Bruno Mars,217,2154006,19373918,https://www.last.fm/music/Bruno+Mars/_/Just+the+Way+You+Are
Magic Shop,BTS,276,496209,17163199,https://www.last.fm/music/BTS/_/Magic+Shop
JETSKI,PEDRO SAMPAIO,148,219010,2569075,https://www.last.fm/music/PEDRO+SAMPAIO/_/JETSKI
Yes or No,Jung Kook,147,383609,23692979,https://www.last.fm/music/Jung+Kook/_/Yes+or+No
Japanese Denim,Daniel Caesar,270,998709,16175445,https://www.last.fm/music/Daniel+Caesar/_/Japanese+Denim
Bohemian Rhapsody - Remastered 2011,Queen,355,1665043,13062459,https://www.last.fm/music/Queen/_/Bohemian+Rhapsody+-+Remastered+2011
Praise the Lord (Da Shine) (feat. Skepta),A$AP Rocky,0,1276994,17882527,https://www.last.fm/music/A$AP+Rocky/_/Praise+the+Lord+(Da+Shine)+(feat.+Skepta)
I Know the End,Phoebe Bridgers,345,940463,20675954,https://www.last.fm/music/Phoebe+Bridgers/_/I+Know+the+End
Crack Rock,Frank Ocean,224,1148094,15041430,https://www.last.fm/music/Frank+Ocean/_/Crack+Rock
Moonlight on the River,Mac DeMarco,423,1057960,14822240,https://www.last.fm/music/Mac+DeMarco/_/Moonlight+on+the+River
NEW DROP,Don Toliver,217,697231,8346177,https://www.last.fm/music/Don+Toliver/_/NEW+DROP
THE GREATEST,Billie Eilish,293,1003389,17813144,https://www.last.fm/music/Billie+Eilish/_/THE+GREATEST
Birds & The Bees,Baby Keem,136,174482,969508,https://www.last.fm/music/Baby+Keem/_/Birds+&+The+Bees
Jane!,The Long Faces,186,145527,2143512,https://www.last.fm/music/The+Long+Faces/_/Jane%21
Killin' It Girl (Solo Version),j-hope,138,238632,21031760,https://www.last.fm/music/j-hope/_/Killin%27+It+Girl+(Solo+Version)
Would? (2022 remaster),Alice in Chains,208,740080,9300996,https://www.last.fm/music/Alice+in+Chains/_/Would%3F+(2022+remaster)
Closer,The Chainsmokers,245,1374109,11522887,https://www.last.fm/music/The+Chainsmokers/_/Closer
CHANEL,Tyla,188,421500,3914578,https://www.last.fm/music/Tyla/_/CHANEL
Delete Ya,Djo,203,379440,2856051,https://www.last.fm/music/Djo/_/Delete+Ya
Where's My Phone?,Mitski,189,309753,2240417,https://www.last.fm/music/Mitski/_/Where%27s+My+Phone%3F
Feels Like We Only Go Backwards,Tame Impala,223,1774865,18904494,https://www.last.fm/music/Tame+Impala/_/Feels+Like+We+Only+Go+Backwards
Somebody Else,The 1975,346,1089325,16474760,https://www.last.fm/music/The+1975/_/Somebody+Else
Nobody,Mitski,202,1404182,23155425,https://www.last.fm/music/Mitski/_/Nobody
Escapism.,RAYE,272,1011463,13365458,https://www.last.fm/music/RAYE/_/Escapism.
my tears ricochet,Taylor Swift,255,1029566,30132629,https://www.last.fm/music/Taylor+Swift/_/my+tears+ricochet
Best Part (feat. H.E.R.),Daniel Caesar,209,1201059,16727826,https://www.last.fm/music/Daniel+Caesar/_/Best+Part+(feat.+H.E.R.)
Timber,Pitbull,203,1326799,7543182,https://www.last.fm/music/Pitbull/_/Timber
Stick Season,Noah Kahan,181,907396,18808903,https://www.last.fm/music/Noah+Kahan/_/Stick+Season
I Was Made for Lovin' You,Kiss,270,1622357,13278917,https://www.last.fm/music/Kiss/_/I+Was+Made+for+Lovin%27+You
Side to Side,Ariana Grande,0,1329659,12957464,https://www.last.fm/music/Ariana+Grande/_/Side+to+Side
A Night To Remember,beabadoobee,233,798656,11493624,https://www.last.fm/music/beabadoobee/_/A+Night+To+Remember
Dance With Me,Bruno Mars,219,150996,526497,https://www.last.fm/music/Bruno+Mars/_/Dance+With+Me
Even Flow,Pearl Jam,293,1885951,17745987,https://www.last.fm/music/Pearl+Jam/_/Even+Flow
La Perla,ROSALÍA,0,395061,4157628,https://www.last.fm/music/ROSAL%C3%8DA/_/La+Perla
VeLDÁ,Bad Bunny,235,553360,6450914,https://www.last.fm/music/Bad+Bunny/_/VeLD%C3%81
Risk,Deftones,218,784747,8949128,https://www.last.fm/music/Deftones/_/Risk
crushcrushcrush,Paramore,181,1602857,19001541,https://www.last.fm/music/Paramore/_/crushcrushcrush
Piano Man,Billy Joel,337,1670728,13617615,https://www.last.fm/music/Billy+Joel/_/Piano+Man
Teenage Fever,Drake,219,881991,12828896,https://www.last.fm/music/Drake/_/Teenage+Fever
Pretty When You Cry,Lana Del Rey,226,1199121,19217716,https://www.last.fm/music/Lana+Del+Rey/_/Pretty+When+You+Cry
Crazy in Love (feat. JAY-Z),Beyoncé,236,1699495,13465208,https://www.last.fm/music/Beyonc%C3%A9/_/Crazy+in+Love+(feat.+JAY-Z)
Don't Look Back In Anger - Remastered,Oasis,289,1039111,10614082,https://www.last.fm/music/Oasis/_/Don%27t+Look+Back+In+Anger+-+Remastered
Super Rich Kids,Frank Ocean,0,1389824,18487459,https://www.last.fm/music/Frank+Ocean/_/Super+Rich+Kids
THIS IS FOR,TWICE,131,380841,8893141,https://www.last.fm/music/TWICE/_/THIS+IS+FOR
Looking Out For You,Joy Again,179,1163358,16244514,https://www.last.fm/music/Joy+Again/_/Looking+Out+For+You
Rock That Body,Black Eyed Peas,268,1084388,8659404,https://www.last.fm/music/Black+Eyed+Peas/_/Rock+That+Body
Telepathy,BTS,202,361086,12300779,https://www.last.fm/music/BTS/_/Telepathy
Magnolia,Playboi Carti,181,1288649,20629143,https://www.last.fm/music/Playboi+Carti/_/Magnolia
Let Alone The One You Love,Olivia Dean,187,376189,3180885,https://www.last.fm/music/Olivia+Dean/_/Let+Alone+The+One+You+Love
Excavator,Don Toliver,0,180293,1065055,https://www.last.fm/music/Don+Toliver/_/Excavator
Elizabeth Taylor,Taylor Swift,208,556098,9574846,https://www.last.fm/music/Taylor+Swift/_/Elizabeth+Taylor
Will I See You Again?,Thee Sacred Souls,240,792418,6463033,https://www.last.fm/music/Thee+Sacred+Souls/_/Will+I+See+You+Again%3F
"Paint It, Black",The Rolling Stones,225,1650966,14563606,"https://www.last.fm/music/The+Rolling+Stones/_/Paint+It,+Black"
PILLOWTALK,ZAYN,202,1167617,12885511,https://www.last.fm/music/ZAYN/_/PILLOWTALK
brutal,Olivia Rodrigo,143,1303973,22764866,https://www.last.fm/music/Olivia+Rodrigo/_/brutal
Instant Crush (feat. Julian Casablancas),Daft Punk,337,1041867,14326749,https://www.last.fm/music/Daft+Punk/_/Instant+Crush+(feat.+Julian+Casablancas)
Lay All Your Love on Me,ABBA,274,1415417,11677854,https://www.last.fm/music/ABBA/_/Lay+All+Your+Love+on+Me
Sunday Morning,Maroon 5,243,1486766,11284148,https://www.last.fm/music/Maroon+5/_/Sunday+Morning
Right Here,Justin Bieber,204,405294,4033988,https://www.last.fm/music/Justin+Bieber/_/Right+Here
Drama,aespa,214,627120,18010124,https://www.last.fm/music/aespa/_/Drama
You're Not the Only One I Know,The Sundays,230,634904,7211755,https://www.last.fm/music/The+Sundays/_/You%27re+Not+the+Only+One+I+Know
Shut Up and Drive,Rihanna,230,1631879,12584113,https://www.last.fm/music/Rihanna/_/Shut+Up+and+Drive
Coincidence,Sabrina Carpenter,164,725879,11034493,https://www.last.fm/music/Sabrina+Carpenter/_/Coincidence
Broken Clocks,SZA,0,1195752,20197659,https://www.last.fm/music/SZA/_/Broken+Clocks
Hotline Bling,Drake,267,1419235,12381204,https://www.last.fm/music/Drake/_/Hotline+Bling
Dress,Taylor Swift,284,786903,18825303,https://www.last.fm/music/Taylor+Swift/_/Dress
Angel,Massive Attack,378,1662648,15364428,https://www.last.fm/music/Massive+Attack/_/Angel
Moth to a Flame (with The Weeknd),Swedish House Mafia,234,924449,14601248,https://www.last.fm/music/Swedish+House+Mafia/_/Moth+to+a+Flame+(with+The+Weeknd)
Trivia 轉 : Seesaw,BTS,246,450987,16090917,https://www.last.fm/music/BTS/_/Trivia+%E8%BD%89+:+Seesaw
Impostor Syndrome,Sidney Gish,294,199443,2736893,https://www.last.fm/music/Sidney+Gish/_/Impostor+Syndrome
Circles,Post Malone,213,1499629,21719115,https://www.last.fm/music/Post+Malone/_/Circles
Hello Juliet,Clarion,208,243806,2110166,https://www.last.fm/music/Clarion/_/Hello+Juliet
Good Flirts (feat. Kendrick Lamar & Momo Boyd),Baby Keem,232,207408,865911,https://www.last.fm/music/Baby+Keem/_/Good+Flirts+(feat.+Kendrick+Lamar+&+Momo+Boyd)
Can't Feel My Face,The Weeknd,215,1834450,18430726,https://www.last.fm/music/The+Weeknd/_/Can%27t+Feel+My+Face
Attention,Charlie Puth,208,1210298,11251445,https://www.last.fm/music/Charlie+Puth/_/Attention
Freaking Out the Neighborhood,Mac DeMarco,174,1306372,15318230,https://www.last.fm/music/Mac+DeMarco/_/Freaking+Out+the+Neighborhood
making the bed,Olivia Rodrigo,219,775588,15156193,https://www.last.fm/music/Olivia+Rodrigo/_/making+the+bed
Out of My League,Fitz and the Tantrums,209,1337169,14374734,https://www.last.fm/music/Fitz+and+the+Tantrums/_/Out+of+My+League
B.Y.O.B.,System of a Down,255,1705121,17792710,https://www.last.fm/music/System+of+a+Down/_/B.Y.O.B.
Work Out,J. Cole,199,1117459,10967213,https://www.last.fm/music/J.+Cole/_/Work+Out
Stigma,BTS,219,423801,22520825,https://www.last.fm/music/BTS/_/Stigma
DIE TRYING,PARTYNEXTDOOR,195,419394,7518134,https://www.last.fm/music/PARTYNEXTDOOR/_/DIE+TRYING
HIGHEST IN THE ROOM,Travis Scott,175,1408039,19587865,https://www.last.fm/music/Travis+Scott/_/HIGHEST+IN+THE+ROOM
Ventura Highway,America,196,902590,7672746,https://www.last.fm/music/America/_/Ventura+Highway
Genie in a Bottle,Christina Aguilera,217,1467052,10042668,https://www.last.fm/music/Christina+Aguilera/_/Genie+in+a+Bottle
Into It,Chase Atlantic,196,857976,12244361,https://www.last.fm/music/Chase+Atlantic/_/Into+It
The Reason,Hoobastank,233,1936579,15988813,https://www.last.fm/music/Hoobastank/_/The+Reason
Stress Relief,late night drive home,279,567577,6599731,https://www.last.fm/music/late+night+drive+home/_/Stress+Relief
Tell Me (U Want It),underscores,213,63688,344762,https://www.last.fm/music/underscores/_/Tell+Me+(U+Want+It)
goosebumps,Travis Scott,243,1681130,23325130,https://www.last.fm/music/Travis+Scott/_/goosebumps
A New Kind Of Love - Demo,Frou Frou,260,808717,9893601,https://www.last.fm/music/Frou+Frou/_/A+New+Kind+Of+Love+-+Demo
The Visitor,Sienna Spiro,228,48295,163468,https://www.last.fm/music/Sienna+Spiro/_/The+Visitor
Falling Down - Bonus Track,Lil Peep,0,1061666,15416048,https://www.last.fm/music/Lil+Peep/_/Falling+Down+-+Bonus+Track
One More Night,Maroon 5,221,1401623,11587274,https://www.last.fm/music/Maroon+5/_/One+More+Night
Nothing's Gonna Hurt You Baby,Cigarettes After Sex,286,1163704,14243913,https://www.last.fm/music/Cigarettes+After+Sex/_/Nothing%27s+Gonna+Hurt+You+Baby
I WANT THINGS TO BE BEAUTIFUL,Devi McCallion,106,211793,4026685,https://www.last.fm/music/Devi+McCallion/_/I+WANT+THINGS+TO+BE+BEAUTIFUL
drive ME crazy!,Lil Yachty,229,733906,13147935,https://www.last.fm/music/Lil+Yachty/_/drive+ME+crazy%21
American Teenager,Ethel Cain,258,717757,16013047,https://www.last.fm/music/Ethel+Cain/_/American+Teenager
Zombie - 2025 Remastered,The Cranberries,0,419087,1690086,https://www.last.fm/music/The+Cranberries/_/Zombie+-+2025+Remastered
FANCY,TWICE,215,890096,18940908,https://www.last.fm/music/TWICE/_/FANCY
ExtraL (feat. Doechii),Jennie,167,603935,11506964,https://www.last.fm/music/Jennie/_/ExtraL+(feat.+Doechii)
FE!N (feat. Playboi Carti),Travis Scott,191,1405322,26895685,https://www.last.fm/music/Travis+Scott/_/FE%21N+(feat.+Playboi+Carti)
Livin' on a Prayer,Bon Jovi,248,2013220,16175005,https://www.last.fm/music/Bon+Jovi/_/Livin%27+on+a+Prayer
Don’t Worry I’ll Make You Worry,Sabrina Carpenter,0,458025,5619242,https://www.last.fm/music/Sabrina+Carpenter/_/Don%E2%80%99t+Worry+I%E2%80%99ll+Make+You+Worry
ILoveUIHateU,Playboi Carti,135,981905,22973065,https://www.last.fm/music/Playboi+Carti/_/ILoveUIHateU
Solo,Future,265,804954,12594671,https://www.last.fm/music/Future/_/Solo
Brazil,Declan McKenna,252,1137266,15807718,https://www.last.fm/music/Declan+McKenna/_/Brazil
Filter,BTS,180,539177,33142943,https://www.last.fm/music/BTS/_/Filter
"not a lot, just forever",Adrianne Lenker,250,709160,13355902,"https://www.last.fm/music/Adrianne+Lenker/_/not+a+lot,+just+forever"
Attention,Malcolm Todd,113,145034,1244402,https://www.last.fm/music/Malcolm+Todd/_/Attention
The Scientist,Coldplay,266,3018410,31888218,https://www.last.fm/music/Coldplay/_/The+Scientist
Hello?,Clairo,135,913619,10186884,https://www.last.fm/music/Clairo/_/Hello%3F
Autumn Leaves,BTS,268,415867,9226888,https://www.last.fm/music/BTS/_/Autumn+Leaves
I've Seen It,Olivia Dean,0,342490,2740282,https://www.last.fm/music/Olivia+Dean/_/I%27ve+Seen+It
Wet Dreamz,J. Cole,236,1228349,16441544,https://www.last.fm/music/J.+Cole/_/Wet+Dreamz
Kiss Me Thru The Phone,Soulja Boy,0,1322252,9387487,https://www.last.fm/music/Soulja+Boy/_/Kiss+Me+Thru+The+Phone
Star Shopping,Lil Peep,141,1059081,25418216,https://www.last.fm/music/Lil+Peep/_/Star+Shopping
Knockin' on Heaven's Door,Bob Dylan,151,1448593,11522885,https://www.last.fm/music/Bob+Dylan/_/Knockin%27+on+Heaven%27s+Door
Dis-ease,BTS,239,360322,12970935,https://www.last.fm/music/BTS/_/Dis-ease
Trade Places,Jack Harlow,182,53274,131446,https://www.last.fm/music/Jack+Harlow/_/Trade+Places
I Can't Handle Change,Roar,198,1275501,19142803,https://www.last.fm/music/Roar/_/I+Can%27t+Handle+Change
Psychosocial,Slipknot,283,1408059,18575664,https://www.last.fm/music/Slipknot/_/Psychosocial
Dramatic Girl (feat. Che Ecru),Baby Keem,199,155965,894891,https://www.last.fm/music/Baby+Keem/_/Dramatic+Girl+(feat.+Che+Ecru)
HOUSE MONEY,Baby Keem,195,175111,981462,https://www.last.fm/music/Baby+Keem/_/HOUSE+MONEY
Killing in the Name,Rage Against the Machine,302,2183379,19760353,https://www.last.fm/music/Rage+Against+the+Machine/_/Killing+in+the+Name
What Was That,Lorde,209,651125,11328818,https://www.last.fm/music/Lorde/_/What+Was+That
Siren sounds (bonus),Tate McRae,182,343338,5146936,https://www.last.fm/music/Tate+McRae/_/Siren+sounds+(bonus)
That's What You Get,Paramore,244,1641390,18204684,https://www.last.fm/music/Paramore/_/That%27s+What+You+Get
24K Magic,Bruno Mars,225,1450845,11568240,https://www.last.fm/music/Bruno+Mars/_/24K+Magic
If You Can't Hang,Sleeping With Sirens,250,697748,10737394,https://www.last.fm/music/Sleeping+With+Sirens/_/If+You+Can%27t+Hang
Animals,Maroon 5,231,1376594,11248688,https://www.last.fm/music/Maroon+5/_/Animals
Sarah,Alex G,176,1086761,19471843,https://www.last.fm/music/Alex+G/_/Sarah
Is There Someone Else?,The Weeknd,199,1211353,20823003,https://www.last.fm/music/The+Weeknd/_/Is+There+Someone+Else%3F
love is embarrassing,Olivia Rodrigo,154,802367,18315853,https://www.last.fm/music/Olivia+Rodrigo/_/love+is+embarrassing
Scott Street,Phoebe Bridgers,281,1024337,18843263,https://www.last.fm/music/Phoebe+Bridgers/_/Scott+Street
Say Yes to Heaven,Lana Del Rey,209,1321523,16632516,https://www.last.fm/music/Lana+Del+Rey/_/Say+Yes+to+Heaven
Sk8er Boi,Avril Lavigne,203,1688395,13142873,https://www.last.fm/music/Avril+Lavigne/_/Sk8er+Boi
Jealous,Eyedress,122,1559523,21424228,https://www.last.fm/music/Eyedress/_/Jealous
Dead to Me,Kali Uchis,199,1253427,16744581,https://www.last.fm/music/Kali+Uchis/_/Dead+to+Me
Forget Her,Jeff Buckley,312,787151,10426919,https://www.last.fm/music/Jeff+Buckley/_/Forget+Her
Nangs,Tame Impala,107,1366500,13334422,https://www.last.fm/music/Tame+Impala/_/Nangs
Bite Me,ENHYPEN,155,558421,16823164,https://www.last.fm/music/ENHYPEN/_/Bite+Me
take a bite,beabadoobee,159,738051,11521390,https://www.last.fm/music/beabadoobee/_/take+a+bite
Famous Last Words,My Chemical Romance,299,1358810,17122497,https://www.last.fm/music/My+Chemical+Romance/_/Famous+Last+Words
I Don't Love You,My Chemical Romance,239,1365864,16917566,https://www.last.fm/music/My+Chemical+Romance/_/I+Don%27t+Love+You
Disease,Lady Gaga,229,786939,17515037,https://www.last.fm/music/Lady+Gaga/_/Disease
Not Today,BTS,232,480797,8667144,https://www.last.fm/music/BTS/_/Not+Today
Au Pays du Cocaine,Geese,217,286736,3524164,https://www.last.fm/music/Geese/_/Au+Pays+du+Cocaine
